Filename, N_kps1, N_kps2, Total_kps2, N_matches, average_match_rate, n_forward, n_backward, n_not_first_match_forward, n_not_first_match_backward, old_average_match_rate,difference,dif2,, average_match_rate_reduced_CC,,,
losangeles034-2010.png,3517,4684,8201,276,0.067308865,317,343,0,0,0.07316181,-0.080000006,0.006400001,,0.067308865,0,0,
losangeles035-2010.png,1880,4075,5955,522,0.175314861,566,589,0,0,0.181024349,-0.031539887,0.000994764,,0.175314861,0,0,
losangeles036-2010.png,2171,4057,6228,562,0.180475273,603,621,0,0,0.184649968,-0.022608696,0.000511153,,0.180475273,0,0,
losangeles037-2010.png,2257,4127,6384,571,0.178884712,624,650,0,0,0.185150376,-0.033840948,0.00114521,,0.178884712,0,0,
losangeles038-2010.png,2689,4340,7029,692,0.196898563,753,773,0,0,0.203442879,-0.03216783,0.001034769,,0.197183099,-0.000284535,8.09604E-08,
losangeles039-2010.png,2771,4325,7096,856,0.241262683,921,935,0,0,0.25,-0.034949267,0.001221451,,0.241262683,0,0,
losangeles040-2010.png,2889,4516,7405,826,0.223092505,885,923,0,0,0.232005402,-0.038416765,0.001475848,,0.223092505,0,0,
losangeles041-2010.png,3702,4877,8579,194,0.045226716,244,258,0,0,0.052686793,-0.141592915,0.020048554,,0.045459844,-0.000233127,5.43484E-08,
losangeles042-2010.png,3358,4090,7448,505,0.135606874,554,578,0,0,0.141514501,-0.041745734,0.001742706,,0.135606874,0,0,
losangeles043-2010.png,1671,3389,5060,380,0.150197628,411,452,0,0,0.158893281,-0.05472637,0.002994976,,0.150592885,-0.000395257,1.56228E-07,
losangeles044-2010.png,2012,3852,5864,440,0.150068213,464,491,0,0,0.155866303,-0.037199126,0.001383775,,0.150068213,0,0,
losangeles045-2010.png,2529,4177,6706,496,0.147927229,538,556,0,0,0.154488518,-0.042471044,0.00180379,,0.147927229,0,0,
losangeles046-2010.png,2665,4088,6753,616,0.182437435,684,700,0,0,0.192210869,-0.050847456,0.002585464,,0.182437435,0,0,
losangeles047-2010.png,2694,4113,6807,866,0.254443955,919,926,0,0,0.260907889,-0.024774775,0.000613789,,0.254443955,0,0,
losangeles048-2010.png,2586,4387,6973,722,0.207084469,766,793,0,0,0.213968163,-0.032171582,0.001035011,,0.207084469,0,0,
losangeles049-2010.png,3307,4363,7670,160,0.041720991,215,215,0,0,0.045632334,-0.08571429,0.00734694,,0.041720991,0,0,
losangeles050-2010.png,3247,4106,7353,626,0.170270638,698,711,0,0,0.179518564,-0.051515152,0.002653811,,0.170270638,0,0,
losangeles051-2010.png,2414,4105,6519,489,0.15002301,538,575,0,0,0.156772511,-0.043052837,0.001853547,,0.15002301,0,0,
losangeles052-2010.png,2612,4296,6908,554,0.160393746,625,620,0,0,0.169079328,-0.051369861,0.002638863,,0.160393746,0,0,
losangeles053-2010.png,2787,4052,6839,632,0.184822342,694,725,0,0,0.192425793,-0.039513677,0.001561331,,0.184822342,0,0,
losangeles054-2010.png,3211,4604,7815,814,0.208317338,878,891,0,0,0.21753039,-0.04235294,0.001793772,,0.208317338,0,0,
losangeles055-2010.png,2787,4238,7025,936,0.266476868,978,988,0,0,0.269893238,-0.012658226,0.000160231,,0.266476868,0,0,
losangeles056-2010.png,2536,3893,6429,657,0.204386374,700,712,0,0,0.210919272,-0.030973451,0.000959355,,0.204386374,0,0,
losangeles057-2010.png,3192,4368,7560,195,0.051587302,241,250,0,0,0.055291005,-0.066985641,0.004487076,,0.051587302,0,0,
losangeles058-2010.png,3250,4647,7897,489,0.123844498,524,556,0,0,0.129162973,-0.041176468,0.001695502,,0.124097759,-0.000253261,6.4141E-08,
losangeles059-2010.png,2553,4739,7292,458,0.125617115,498,517,0,0,0.129456939,-0.029661016,0.000879776,,0.125617115,0,0,
losangeles060-2010.png,3223,4841,8064,817,0.202628968,857,898,0,0,0.210565476,-0.037691401,0.001420642,,0.202628968,0,0,
losangeles061-2010.png,2890,4220,7110,699,0.196624473,757,760,0,0,0.202531646,-0.029166669,0.000850695,,0.196624473,0,0,
losangeles062-2010.png,3131,4542,7673,746,0.194448065,808,822,0,0,0.201225075,-0.033678757,0.001134259,,0.194448065,0,0,
losangeles063-2010.png,2506,4205,6711,753,0.224407689,804,812,0,0,0.230368052,-0.025873219,0.000669423,,0.224407689,0,0,
